遍 历	0.003696	18
关 键 码	0.003087	43
复 杂 度	0.002689	45
递 归	0.002382	48
运 算 符	0.002004	26
B S T	0.001995	43
左 孩 子	0.001981	62
B 树	0.001915	103
数 据 结 构	0.001889	62
右 子 树	0.001807	46
前 缀	0.001757	46
根 节 点	0.001572	51
右 孩 子	0.001549	12
红 黑 树	0.001229	47
左 括 号	0.001200	16
所 对 应	0.001198	18
子 序 列	0.001190	13
左 子 树	0.001137	19
忽 略 掉	0.001117	14
A V L 树	0.001083	28
入 栈	0.001076	8
z i g	0.001067	8
二 叉 树	0.001057	23
父 节 点	0.001024	25
模 式 串	0.001021	54
词 条	0.000988	23
括 号	0.000960	20
栈 顶	0.000957	20
首 元 素	0.000952	19
递 归 实 例	0.000934	10
优 先 级	0.000926	12
字 符	0.000918	40
向 量	0.000916	132
右 括 号	0.000912	16
栈 中	0.000871	6
l o g n	0.000841	21
有 序 向 量	0.000828	18
逆 序	0.000794	46
排 序	0.000778	13
后 缀	0.000760	7
操 作 数	0.000757	2
最 坏 的 情 况	0.000756	54
减 而 治 之	0.000735	11
删 除 操 作	0.000732	9
最 坏 情 况	0.000732	58
再 接 下 来	0.000731	15
前 驱	0.000721	20
计 算 成 本	0.000718	15
节 点	0.000709	313
刚 才 所 说	0.000704	16
初 始 化	0.000699	2
轴 点	0.000698	11
s e a r c h	0.000684	5
此 前	0.000683	172
我 们 只 需	0.000681	2
调 用	0.000673	3
常 系 数	0.000659	29
中 位 数	0.000649	8
i n s e r t	0.000645	10
数 组	0.000643	13
失 配	0.000629	21
插 入 操 作	0.000627	10
s o r t	0.000621	2
对 齐 位 置	0.000620	10
计 算 过 程	0.000612	8
按 照 刚 才	0.000606	11
接 受 访 问	0.000601	4
w h i l e 循 环	0.000583	14
不 变 性	0.000583	10
阶 乘	0.000582	2
栈 混 洗	0.000578	10
子 串	0.000575	6
接 下 来	0.000573	144
列 表	0.000557	44
n 平 方	0.000542	8
B B S T	0.000539	9
操 作 符	0.000537	6
扫 描 交 换	0.000530	10
查 找	0.000512	49
删 除	0.000511	26
e l s e	0.000510	2
起 泡 排 序	0.000503	12
散 列 表	0.000498	16
左 侧 链	0.000495	6
单 调 性	0.000494	3
对 齐	0.000493	6
平 衡 因 子	0.000487	9
r e m o v e	0.000482	2
全 树	0.000478	18
算 术 级 数	0.000476	10
蛮 力 算 法	0.000473	11
这 里 头	0.000468	7
二 叉 搜 索 树	0.000467	3
子 问 题	0.000463	10
分 而 治 之	0.000454	12
上 溢	0.000452	10
紧 邻	0.000450	11
图 灵 机	0.000447	11
外 部 节 点	0.000440	22
不 失 一 般 性	0.000439	2
二 分 查 找	0.000437	5
动 态 操 作	0.000434	10
具 体 实 现	0.000430	5
末 元 素	0.000430	3
数 据 集	0.000427	13
递 推 式	0.000423	9
拓 扑 结 构	0.000419	24
邻 接 矩 阵	0.000417	12
表 达 式	0.000416	38
散 列	0.000411	6
实 现 方 法	0.000408	2
与 刚 才	0.000404	2
扩 容	0.000393	11
文 本 串	0.000389	39
逆 序 对	0.000388	16
时 间 成 本	0.000382	8
D S A	0.000380	10
伸 展 树	0.000379	10
内 循 环	0.000378	4
偶 数	0.000377	7
末 字 符	0.000375	16
相 对 于 此 前	0.000372	4
线 性 结 构	0.000368	8
R P N	0.000363	30
子 序 列 G	0.000362	9
运 行 时 间	0.000359	4
最 开 始	0.000357	3
列 表 结 构	0.000354	12
树 结 构	0.000352	4
r a n k	0.000350	6
数 位	0.000340	4
多 项 式	0.000332	32
意 义 下	0.000329	13
先 序 遍 历	0.000326	10
无 序 向 量	0.000324	10
实 现 方 式	0.000320	4
运 算 数	0.000313	4
顶 点 v	0.000313	8
递 归 基	0.000312	5
确 存 在	0.000312	7
充 要 条 件	0.000312	6
表 达 式 中	0.000312	8
中 序 遍 历 序 列	0.000311	12
小 于 号	0.000307	6
B i n N o d e	0.000306	8
众 数	0.000305	11
这 条 边	0.000305	26
大 O 记 号	0.000304	14
字 符 串	0.000303	3
操 作 接 口	0.000299	4
子 表 达 式	0.000296	4
向 量 中	0.000293	21
显 式	0.000293	9
非 空	0.000290	15
K M P	0.000289	6
K M P 算 法	0.000289	8
数 据 项	0.000288	5
最 好 的 情 况	0.000288	12
重 复 元 素	0.000286	3
目 标 元 素	0.000285	5
区 间 内	0.000283	8
